Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984]
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,410669262.897929,541973362.480998,585364635.354748,767102679.018622,754549600.548182,765224030.636552,878771771.29105,1198749665.95066,1705796849.54655,1993512325.92286,2160640566.5396,2097274289.61512,2193581366.40722
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.97,54.2554146341463,54.5311951219512,54.8028536585366,55.0764146341464,55.3489024390244,55.6139024390244,55.8649024390244,56.0908780487805,56.2828048780488,56.4291707317073,56.5184390243902,56.5421707317073
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1872416680.07912,2434255236.99935,2910981262.10018,2442672140.947,2742859262.9794,2515296939.60686,2811032472.93922,3353445378.15126,3884530853.76162,4008126497.36464,3871117092.86676,3321048451.15171,2719518932.99541
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.9553414634146,50.3920731707317,50.7817804878049,51.1104146341463,51.3678780487805,51.5481463414634,51.6411951219512,51.6330487804878,51.4991951219512,51.2171463414634,50.786,50.2168780487805,49.5269024390244
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 10/04/2016,,,,,,,,,,,,,,,,
