Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Zambia,ZMB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.018,7.071,7.127,7.184,7.24,7.292,7.338,7.376,7.405,7.425,7.437,7.442,7.445,7.444,7.441,7.431,7.412,7.381,7.335,7.277,7.209,7.133,7.055,6.978,6.904,6.834,6.767,6.701,6.634,6.568,6.502,6.439,6.38,6.325,6.276,6.233,6.196,6.165,6.139,6.116,6.097,6.08,6.064,6.048,6.028,6.001,5.963,5.911,5.847,5.772,5.687,5.599,5.511,5.429,5.353,..,..
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.1098048780488,45.487512195122,45.8536585365854,46.2087317073171,46.5576829268293,46.911512195122,47.2832682926829,47.6814634146342,48.1061219512195,48.552756097561,49.0164146341464,49.4901219512195,49.9553414634146,50.3920731707317,50.7817804878049,51.1104146341463,51.3678780487805,51.5481463414634,51.6411951219512,51.6330487804878,51.4991951219512,51.2171463414634,50.786,50.2168780487805,49.5269024390244,48.7342926829268,47.858756097561,46.9363658536585,46.0106829268293,45.1237317073171,44.3124634146342,43.6023170731707,43.0046097560976,42.5331219512195,42.2072195121951,42.0382926829268,42.0248048780488,42.1581951219512,42.4329024390244,42.8557804878049,43.4566829268293,44.2724878048781,45.3066585365854,46.5386341463415,47.9323902439024,49.4293902439024,50.9666097560976,52.4771463414634,53.9056341463415,55.2141707317073,56.3838536585366,57.4221951219512,58.3633170731707,59.2373658536585,60.0470487804878,..,..
"Congo, Dem. Rep.",ZAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.001,6.015,6.03,6.048,6.067,6.089,6.111,6.135,6.161,6.187,6.214,6.242,6.271,6.301,6.333,6.366,6.403,6.443,6.487,6.535,6.585,6.638,6.694,6.75,6.805,6.858,6.907,6.953,6.994,7.029,7.058,7.081,7.099,7.111,7.119,7.122,7.12,7.112,7.099,7.079,7.053,7.018,6.975,6.924,6.865,6.799,6.725,6.646,6.563,6.476,6.386,6.294,6.199,6.103,6.006,..,..
"Congo, Dem. Rep.",ZAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.0180487804878,41.2335365853659,41.451512195122,41.678,41.918,42.1804878048781,42.4724878048781,42.7919756097561,43.1334634146342,43.4889512195122,43.8429268292683,44.1769024390244,44.4763902439024,44.7373658536585,44.9603658536585,45.1568536585366,45.3453658536585,45.5453658536585,45.7708780487805,46.0248780487805,46.3028780487805,46.5928780487805,46.8803658536585,47.1523414634146,47.4073170731707,47.652756097561,47.9037073170732,48.1701463414634,48.4515853658537,48.7370243902439,48.9929756097561,49.1749268292683,49.2614146341463,49.2534146341464,49.1724146341463,49.0659268292683,48.9969512195122,49.0244634146342,49.1924390243903,49.5174146341463,50.0028780487805,50.6293414634146,51.3468048780488,52.1067804878049,52.8792682926829,53.6382926829268,54.3678292682927,55.0644146341463,55.724,56.3370731707317,56.8961463414634,57.3986341463415,57.8540731707317,58.2719268292683,58.6591951219512,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/04/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
