Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Spain,ESP,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142.009521,,,,,,,,,,2142.009521,,,,,,,,,,2142.009521,,,,,
Spain,ESP,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426752141,,,,,,,,,,0.426752141,,,,,,,,,,0.426752141,,,,,
Spain,ESP,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.388428,,,,,,,,,,1983.388428,,,,,,,,,,1983.388428,,,,,
Spain,ESP,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395150091,,,,,,,,,,0.395150091,,,,,,,,,,0.395150091,,,,,
Spain,ESP,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.821902232,,,,,,,,,,0.821902232,,,,,,,,,,0.821902232,,,,,
Spain,ESP,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138094.9,141262.4,144429.8,147597.3,150764.7,153932.2,157099.6,160267.1,163434.5,166602,169769.4,170379.7,170990,171600.3,172210.6,172820.9,174751.1,176681.3,178611.6,180541.8,182472,182813.3,183154.7,183496,183837.4,184178.7
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.64994794,28.28415826,28.91834855,29.55255887,30.18674916,30.82095947,31.45514977,32.08936008,32.72355038,33.35776069,34.02192385,34.17710423,34.26378647,34.37437151,34.49869786,34.62720151,35.02166419,35.3992707,35.80825982,36.20539045,36.49367013,36.57143714,36.61556146,36.68379281,36.75204414,36.82027548
Spain,ESP,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62533875,12.84883919,12.26974925,11.74366207,11.70964202,11.60311746,11.84830738,11.93873925,11.46585627,12.00217825,12.11964167,13.00571598,,,
Spain,ESP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,636,,,,,636,,,,,636,,,,,636,,,,,636,,,,,636,,,,,636,,,,,636,,,,,636,,,,,636,,,,,636,,636,
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499750,499630,499570,499540,499530,499540,499470,499460,499460,499430,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,500210
Spain,ESP,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432138.3438,,,,,,,,,,432138.3438,,,,,,,,,,432138.3438,,,,,
Spain,ESP,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69794.58594,,,,,,,,,,69794.58594,,,,,,,,,,69794.58594,,,,,
