"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Denmark","DNK","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","128865","136712","145839","156344","161734","166291","171380","173735","173853","174639","173000","172844","178772","182660","185000","182618","191331","189913","189746","189426","181349","183135","176000","169711","166314","168574","164949","167773","165908","162555","160387","155031","154648","146573","151080","139619","141293","130000","129377","123221","121255","119290","117325","115360","113402","","","","","","","","","","",
"Denmark","DNK","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169.285251400907","189.089007029286","327.575857289579","","","","","","","","","","","",
"Denmark","DNK","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5584358523726","136.40026478376","144.784486557955","137.117066895369","138.581167447806","142.411968777103","147.676103247294","102.918140682847","113.71210243701","112.848739495798","112.431348221671","114.438860275793","","",
"Denmark","DNK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","31600","31410","30880","30680","30330","30270","30230","30170","29910","29750","29510","29560","29860","29320","29370","29330","29270","29210","29200","29050","28970","28870","28460","28550","28340","28190","27980","27870","27740","27880","27700","27560","27390","26910","27260","27160","26880","26720","26440","26470","26760","26650","26580","26460","27070","27100","26630","26680","26340","26260","26900","26240","26090","","",
"Denmark","DNK","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","74.5810715128629","74.1326410195893","72.8817559594052","72.4097238612226","71.5836676894029","71.4420580599481","71.3476516403115","71.2060420108567","70.5924002832193","70.2147746046731","69.6483360868539","69.7663441113996","70.4743922586736","69.1999055935804","69.317913618126","69.2235071984895","69.0818975690347","68.9402879395799","68.9004247286456","68.546484190656","68.3577159037282","68.1217555450684","67.1543180745635","67.3666823973573","66.8711656441718","66.5172251061822","66.0061335220571","65.7466383581033","65.4399622552489","65.7702288275537","65.3456003774475","64.9540419514495","64.5533820410087","63.4221069997643","64.2469950506717","64.0113127504124","63.3514023096865","62.9743106292717","62.3144001885458","62.3851048786236","63.0685835493754","62.8093330190903","62.6443554089088","62.3615366485977","63.7991986801791","63.8699033702569","62.7621965590384","62.880037709168","62.0787178882866","61.8901720480792","63.3985387697384","61.8430355880273","61.4895121376385","","",
"Denmark","DNK","Arable land (hectares)","AG.LND.ARBL.HA","","2807000","2773000","2744000","2726000","2693000","2686000","2685000","2694000","2678000","2661000","2647000","2651000","2653000","2641000","2650000","2657000","2637000","2643000","2642000","2639000","2637000","2630000","2593000","2612000","2601000","2594000","2578000","2560000","2545000","2561000","2548000","2539000","2533000","2365000","2319000","2322000","2365000","2366000","2294000","2281000","2292000","2276000","2266000","2269000","2332000","2347000","2306000","2402000","2431000","2421000","2499000","2418000","2407600","","",
"Denmark","DNK","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.608670970081014","0.596635731831926","0.585763679791345","0.577288952815628","0.565873756989896","0.559888822672204","0.55528509391453","0.553764602355288","0.54744003303447","0.539892715343848","0.533333225874177","0.531092660543842","0.528290209545824","0.523457786528722","0.523729698556996","0.523794916843368","0.518235624857151","0.517803993849829","0.516338235549907","0.51512513988312","0.514880977949739","0.513891684138333","0.507010054363288","0.510992701138328","0.508634565522242","0.506587789476644","0.502825810840753","0.499072427106183","0.495850636150064","0.498158021326454","0.494344719688307","0.490972411565987","0.488183003291043","0.454267812484394","0.443117660445758","0.441187032521298","0.447493666498202","0.446060013736235","0.431057242109294","0.427184276921786","0.427709052596457","0.423368529097565","0.420363397293127","0.41983353572554","0.430303397108775","0.431650283450966","0.422233118823284","0.437234385116847","0.440151762734481","0.436398402720559","0.448607432055451","0.432436531265269","0.428785246197104","","",
"Denmark","DNK","Arable land (% of land area)","AG.LND.ARBL.ZS","","66.2497049799386","65.4472504130281","64.7628038706632","64.3379749822988","63.5591220202974","63.3939107859334","63.3703091810243","63.5827236252065","63.2050979466604","62.8038706632051","62.4734481944772","62.5678546141138","62.615057823932","62.3318385650224","62.5442530092046","62.7094642435686","62.2374321453859","62.3790417748407","62.3407267579047","62.2699386503067","62.2227465785748","62.057574327513","61.1845210004719","61.6328456819254","61.3732892873997","61.2081170363379","60.8162302429818","60.3916017928757","60.0377447511205","60.415192262326","60.1085161594716","59.8397360358237","59.6983266556682","55.7388640113127","54.6547254301202","54.725430120198","55.7388640113127","55.7624322413387","54.0655196794721","53.7591326891351","54.0183832194202","53.6412915390054","53.4056092387462","53.4763139288239","54.9611124204572","55.3146358708461","54.3483384397832","56.610888522272","57.2943671930238","57.0586848927646","58.8970068347867","56.9879802026868","56.7428706104172","","",
"Denmark","DNK","Land under cereal production (hectares)","AG.LND.CREL.HA","","1536555","1541998","1569717","1567605","1596967","1604664","1637727","1685196","1704169","1738944","1756753","1776923","1761836","1732993","1719594","1787311","1821271","1845072","1850217","1816317","1787302","1767772","1697885","1674107","1600599","1578349","1498961","1586765","1561598","1570303","1561552","1611927","1444000","1410350","1454400","1523000","1535200","1530166","1496784","1514258","1538062","1527934","1484586","1490600","1508600","1493900","1448300","1513200","1499300","1508400","1496500","1503300","1444060","1450900","",
"Denmark","DNK","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.236016049091338","0.236016049091338","0.283219258909606","0.330422468727874","0.354024073637007","0.354024073637007","0.354024073637007","0.354024073637007","0.354024073637007","0.354024073637007","0.354024073637007","0.354024073637007","0.354024073637007","0.330422468727874","0.236016049091338","0.236016049091338","0.259617654000472","0.236016049091338","0.330344502123643","0.330344502123643","0.330344502123643","0.330344502123643","0.401132609721567","0.353940537989618","0.306748466257669","0.235960358659745","0.235904694503421","0.235904694503421","0.235904694503421","0.235904694503421","0.235904694503421","0.212114070233325","0.212114070233325","0.212114070233325","0.212114070233325","0.212114070233325","0.1885458402074","0.1885458402074","0.1885458402074","0.1885458402074","0.1885458402074","0.164977610181475","0.1885458402074","0.164977610181475","0.164977610181475","0.14140938015555","0.164977610181475","0.117841150129625","0.14140938015555","0.117841150129625","0.0942729201037002","0.14140938015555","0.15083667216592","","",
