Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,CHN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,18900000000,20711000000,26748000000,40755000000,37172000000,38880000000,49972000000,52750000000,46706000000,54297000000,73819000000,98349000000,1.1157E+11,1.35282E+11,1.54127E+11,97709000000,97527000000,1.19243E+11,1.61166E+11,1.80488E+11,2.10243E+11,4.10155E+11,5.536E+11,6.48712E+11,7.82812E+11,9.49017E+11,1.14648E+12,1.02959E+12,1.38092E+12,1.82695E+12,1.94325E+12,2.12022E+12,2.26155E+12,2.04465E+12
China,CHN,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,,,,,,,,,,,,,,,,,,,,,,,4.397233202,5.516549649,4.235211761,2.733755943,3.602811951,5.714285714,5.911740216,4.782608696,2.159926471,5.192914341,2.904388382,3.007643735,11.53444997,16.94227687,1.03165818,4.84475564,7.06146155,6.503254742,7.082871238,7.065919862,7.13298479,8.635514459,8.591681374,8.76381462,9.641746352,8.690016704,8.509414404,8.187138717,12.16306792,8.2651213,8.007763644,7.79895589,6.049538034,2.553115773
China,CHN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,16876000000,18717000000,23891000000,38231000000,34896000000,36395000000,46369000000,48840000000,42354000000,50176000000,64385000000,86313000000,95271000000,1.1006E+11,1.31542E+11,69431000000,70323000000,87136000000,1.24897E+11,1.41031E+11,1.63481E+11,3.54608E+11,4.8072E+11,5.64742E+11,6.81974E+11,8.19891E+11,9.90088E+11,8.83614E+11,1.23999E+12,1.5791E+12,1.66195E+12,1.78961E+12,1.80872E+12,1.57576E+12
China,CHN,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,,,,,,,,,,,,,,,,,,,,,,,2024000000,1994000000,2857000000,2524000000,2276000000,2485000000,3603000000,3910000000,4352000000,4121000000,9434000000,12036000000,16299000000,25222820000,22585000000,28278000000,27204000000,32107000000,36268639000,39457000000,46762744321,55546608068,72880614892,83970681426,1.00838E+11,1.29126E+11,1.56397E+11,1.45979E+11,1.40934E+11,2.47844E+11,2.813E+11,3.30608E+11,4.52832E+11,4.68896E+11
China,CHN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543000000,420000000,792000000,1280970000,1938000000,3114004041,3548126752,4496604796,5321253863,6634081020,8192067402,10319466356,11065271082,13039546459,14706108691,17748983437,21033078371,22613800782,22022366055
China,CHN,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,19541000000,21006000000,27136000000,41301000000,38096000000,40071000000,51602000000,54415000000,48668000000,57176000000,79166000000,1.04023E+11,1.18345E+11,1.52248E+11,1.73882E+11,1.14424E+11,1.19755E+11,1.42043E+11,1.88382E+11,2.09051E+11,2.33533E+11,4.36468E+11,5.79289E+11,7.04099E+11,8.42519E+11,1.02445E+12,1.22969E+12,1.14638E+12,1.54924E+12,2.04153E+12,2.13017E+12,2.38263E+12,2.48762E+12,2.31782E+12
China,CHN,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,,,,,,,,,,,,,,,,,,,,,,,61.61067194,67.85356068,46.23731187,60.38034865,66.78383128,66.07645875,63.1695809,70.38363171,74.56341912,60.8590148,45.84481662,45.52176803,46.75746978,37.76782295,45.65862298,35.16868237,24.86031466,24.60211169,28.66419112,28.70213143,29.10843553,32.82438575,33.67666283,33.88521961,34.08334646,33.51441446,32.18014015,31.90451668,44.8839239,32.45779762,30.52309074,28.53043436,21.23475643,16.12606061
China,CHN,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,,,,,,,,,,,,,,,,,,,,,,,3.260869565,2.657973922,5.250262513,12.44057052,13.53251318,15.57344064,17.56869276,10.97186701,10.79963235,12.39990294,26.62709349,23.23861748,18.62690963,14.62021297,19.80960815,28.75026522,33.83693574,33.83685801,36.15713289,35.25103277,32.92792205,27.34149308,27.08182811,25.91269929,24.11953951,23.06746998,23.11874766,29.93692279,38.94023313,29.28658657,36.25183425,38.89094459,51.82091805,62.31657879
China,CHN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,44000000,93000000,134000000,629000000,450000000,645000000,850000000,780000000,830000000,913000000,4000000000,4400000000,2000000000,2000000000,2114000000,3765000000,4527000000,4036000000,4612000000,9696000000,6284049719,8456083724,7972601714,13729566303,23932198468,17154799702,56742276630,43889985500,57953599366,48420641060,64963386524,72970879683,1.2313E+11,1.87801E+11
China,CHN,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,0.02161635,0.040620187,0.051921453,0.204566426,0.15059949,0.237700585,0.273556239,0.225461229,0.231215013,0.239346898,0.941322506,0.993509232,0.355706609,0.273212083,0.245572921,0.392940872,0.441539255,0.370463143,0.382655809,0.727799678,0.429853056,0.512512064,0.410589405,0.605200253,0.876706662,0.486924225,1.244776453,0.867490498,0.95955093,0.646260659,0.767741428,0.768875094,1.189529754,1.728261573
